Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000611	2	2	2	2	1	4	core
OG0000612	2	2	2	2	1	4	core
OG0000613	2	2	2	2	1	4	core
OG0000614	1	1	1	5	1	4	core
OG0000615	2	2	2	2	1	4	core
OG0000616	2	2	2	2	1	4	core
OG0000617	2	2	2	2	1	4	core
OG0000618	2	2	2	2	1	4	core
OG0000619	2	1	2	3	1	4	core
OG0000620	2	2	2	2	1	4	core
OG0000621	2	2	2	2	1	4	core
OG0000622	1	2	2	3	1	4	core
OG0000623	1	2	2	3	1	4	core
OG0000624	2	2	2	2	1	4	core
OG0000625	2	2	2	2	1	4	core
OG0000626	2	2	2	2	1	4	core
OG0000627	1	1	1	3	3	4	core
OG0000628	2	2	2	2	1	4	core
OG0000629	2	2	2	2	1	4	core
OG0000630	2	2	2	2	1	4	core
OG0000631	2	2	1	3	1	4	core
OG0000632	2	2	2	2	1	4	core
OG0000633	2	1	2	2	2	4	core
OG0000634	2	2	2	2	1	4	core
OG0000635	2	2	2	3	0	4	core
OG0000636	2	2	2	2	1	4	core
OG0000637	2	2	2	2	1	4	core
OG0000638	2	2	2	2	1	4	core
OG0000639	2	2	2	2	1	4	core
OG0000640	2	2	2	2	1	4	core
OG0000641	2	2	2	2	1	4	core
OG0000642	1	2	2	3	1	4	core
OG0000643	2	2	2	2	1	4	core
OG0000644	2	2	2	2	1	4	core
OG0000645	2	2	2	2	1	4	core
OG0000646	2	2	2	2	1	4	core
OG0000647	2	2	2	2	1	4	core
OG0000648	2	2	2	2	1	4	core
OG0000649	2	2	2	2	1	4	core
OG0000650	2	2	2	2	1	4	core
OG0000651	2	2	2	2	1	4	core
OG0000652	2	2	2	2	1	4	core
OG0000653	2	2	2	2	1	4	core
OG0000654	2	2	2	2	1	4	core
OG0000655	2	2	2	2	1	4	core
OG0000656	2	2	2	2	1	4	core
OG0000657	2	2	2	2	1	4	core
OG0000658	0	1	0	7	0	2	shell
OG0000659	1	1	1	1	4	4	core
OG0000660	1	1	2	3	1	4	core
OG0000661	0	3	2	2	1	3	shell
OG0000662	1	1	2	3	1	4	core
OG0000663	1	2	3	2	0	4	core
OG0000664	2	2	1	2	1	4	core
OG0000665	1	2	2	2	1	4	core
OG0000666	0	1	2	0	5	2	shell
OG0000667	1	2	2	2	1	4	core
OG0000668	2	2	2	2	0	4	core
OG0000669	1	2	2	2	1	4	core
OG0000670	1	2	2	2	1	4	core
OG0000671	2	0	2	2	2	3	shell
OG0000672	2	2	2	2	0	4	core
OG0000673	3	1	0	2	2	3	shell
OG0000674	2	2	1	2	1	4	core
